,,,,,,,,,,,,,
Mätning 1,,,Mätning 2,,,Mätning 3,,,Mätning 4 ,,,Mätning 5,
Tid (s),Kraft (N),,Tid (s),Kraft (N),,Tid (s),Kraft (N),,Tid (s),Kraft (N),,Tid (s),Kraft 
"0,000",-0.629543190611,,"0,000",0.496483667863,,0,0.423379952714,,0,-0.848854336058,,0,-0.623419319185
"0,001",-0.611554318297,,"0,001",0.502224797325,,00.02,0.417256081288,,00.02,-0.872967079798,,00.02,-0.647914804889
"0,003",-0.599306575445,,"0,003",0.496483667863,,00.04,0.423379952714,,00.04,-0.909710308355,,00.04,-0.67853416202
"0,004",-0.599306575445,,"0,004",0.496483667863,,00.06,0.42950382414,,00.06,-0.946070794947,,00.06,-0.70264690576
"0,006",-0.587058832592,,"0,006",0.502224797325,,00.08,0.435627695566,,00.08,-0.982814023504,,00.08,-0.733266262891
0.1,-0.587058832592,,0.1,0.502224797325,,0.1,0.435627695566,,0.1,-1.02529838152,,0.1,-0.794122235187
"0,008",-0.580934961166,,"0,008",0.502224797325,,00.12,0.435627695566,,00.12,-1.06778273954,,00.12,-0.818234978928
"0,010",-0.568687218314,,"0,010",0.508348668751,,00.14,0.435627695566,,00.14,-1.1045259681,,00.14,-0.854978207484
"0,011",-0.580934961166,,"0,011",0.514472540177,,00.16,0.441368825028,,00.16,-1.15313419754,,00.16,-0.879090951224
"0,013",-0.587058832592,,"0,013",0.514472540177,,00.18,0.447492696454,,00.18,-1.18949468413,,00.18,-0.915834179781
0.2,-0.580934961166,,0.2,0.508348668751,,0.2,0.441368825028,,0.2,-1.20174242699,,0.2,-0.952194666374
"0,015",-0.593182704019,,"0,015",0.508348668751,,00.22,0.435627695566,,00.22,-1.20786629841,,00.22,-0.982814023504
"0,017",-0.611554318297,,"0,017",0.508348668751,,00.24,0.417256081288,,00.24,-1.20786629841,,00.24,-1.01305063867
"0,018",-0.617678189723,,"0,018",0.502224797325,,00.26,0.417256081288,,00.26,-1.20786629841,,00.26,-1.05591773865
"0,019",-0.623419319185,,"0,019",0.502224797325,,00.28,0.42950382414,,00.28,-1.20174242699,,00.28,-1.1045259681
0.3,-0.629543190611,,0.3,0.502224797325,,0.3,0.356400108991,,0.3,-1.20786629841,,0.3,-1.15313419754
"0,022",-0.623419319185,,"0,022",0.496483667863,,00.32,0.277172522416,,00.32,-1.22011404127,,00.32,-1.19561855556
"0,024",-0.623419319185,,"0,024",0.502224797325,,00.34,0.216316550119,,00.34,-1.23848565554,,00.34,-1.22011404127
"0,025",-0.623419319185,,"0,025",0.502224797325,,00.36,0.19794493584,,00.36,-1.24422678501,,00.36,-1.24422678501
"0,026",-0.623419319185,,"0,026",0.502224797325,,00.38,0.240812035823,,00.38,-1.23236178412,,00.38,-1.27484614214
0.4,-0.611554318297,,0.4,0.496483667863,,0.4,0.289420265268,,0.4,-1.20174242699,,0.4,-1.29321775641
"0,029",-0.593182704019,,"0,029",0.502224797325,,00.42,0.32578075186,,00.42,-1.15313419754,,00.42,-1.30546549927
"0,031",-0.580934961166,,"0,031",0.508348668751,,00.44,0.350276237565,,00.44,-1.09227822525,,00.44,-1.31733050015
"0,032",-0.580934961166,,"0,032",0.508348668751,,00.46,0.350276237565,,00.46,−7278333.38.00,,00.46,-1.31120662873
"0,033",-0.587058832592,,"0,033",0.502224797325,,00.48,0.368647851843,,00.48,−11544613.04.00,,00.48,-1.28097001356
0.5,-0.580934961166,,0.5,0.502224797325,,0.5,0.392760595583,,0.5,-0.964442409226,,0.5,-1.26259839928
"0,036",-0.57481108974,,"0,036",0.502224797325,,00.52,0.411132209862,,00.52,-0.933823052095,,00.52,-1.23236178412
"0,038","−382429,407",,"0,038",0.508348668751,,00.54,0.417256081288,,00.54,-0.921958051207,,00.54,-1.19561855556
"0,039",-0.544574474574,,"0,039",0.502224797325,,00.56,0.423379952714,,00.56,-0.909710308355,,00.56,-1.15925806897
"0,040",-0.538450603148,,"0,040",0.496483667863,,00.58,0.423379952714,,00.58,-0.891338694077,,00.58,-1.13476258326
0.6,-0.532326731722,,0.6,0.496483667863,,0.6,0.423379952714,,0.6,-0.879090951224,,0.6,-1.11064983952
"0,043",-0.544574474574,,"0,043",0.502224797325,,01.02,0.42950382414,,01.02,-0.872967079798,,01.02,-1.09227822525
"0,044",-0.532326731722,,"0,044",0.502224797325,,01.04,0.42950382414,,01.04,-0.872967079798,,01.04,-1.08615435382
"0,046",-0.538450603148,,"0,046",0.508348668751,,01.06,0.435627695566,,01.06,-0.86110207891,,01.06,-1.08615435382
"0,047",-0.538450603148,,"0,047",0.508348668751,,01.08,0.435627695566,,01.08,-0.854978207484,,01.08,-1.08615435382
0.7,-0.538450603148,,0.7,0.508348668751,,0.7,0.423379952714,,0.7,-0.848854336058,,0.7,-1.09227822525
"0,050",-0.532326731722,,"0,050",0.502224797325,,01.12,0.405008338435,,01.12,-0.842730464632,,01.12,-1.11064983952
"0,051",-0.544574474574,,"0,051",0.508348668751,,01.14,0.368647851843,,01.14,-0.824358850354,,01.14,-1.11064983952
"0,053",-0.538450603148,,"0,053",0.502224797325,,01.16,0.27104865099,,01.16,-0.800246106613,,01.16,-1.1045259681
"0,054",-0.532326731722,,"0,054",0.502224797325,,01.18,28972032.01.00,,01.18,-0.781874492335,,01.18,-1.09227822525
0.8,-0.532326731722,,0.8,0.502224797325,,0.8,0.0946046055251,,0.8,-0.751255135205,,0.8,-1.04979386723
"0,057",-0.532326731722,,"0,057",0.502224797325,,01.22,0.0521202475065,,01.22,-0.714894648612,,01.22,-0.994679024392
"0,058",-0.532326731722,,"0,058",0.502224797325,,01.24,0.0153770189499,,01.24,-0.672410290594,,01.24,-0.939946923521
"0,060",-0.538450603148,,"0,060",0.502224797325,,01.26,-0.0332312104947,,01.26,-0.635667062037,,01.26,-0.885214822651
"0,061",-0.532326731722,,"0,061",0.508348668751,,01.28,-0.148819283662,,01.28,-0.623419319185,,01.28,-0.83048272178
0.9,-0.538450603148,,0.9,0.508348668751,,0.9,-0.270531228256,,0.9,-0.635667062037,,0.9,-0.794122235187
"0,064",-0.538450603148,,"0,064",0.502224797325,,01.32,-0.331387200553,,01.32,-0.672410290594,,01.32,-0.769626749483
"0,065",-0.532326731722,,"0,065",0.502224797325,,01.34,-0.379995429998,,01.34,-0.70264690576,,01.34,-0.781874492335
"0,067",-0.526202860296,,"0,067",0.508348668751,,01.36,-0.453099145147,,01.36,-0.745131263779,,01.36,-0.800246106613
"0,068",-0.532326731722,,"0,068",0.502224797325,,01.38,-0.562563346888,,01.38,-0.800246106613,,01.38,-0.842730464632
"1,000",-0.532326731722,,"1,000",0.502224797325,,1,-0.684275291482,,1,-0.842730464632,,1,-0.872967079798
"0,043",-0.532326731722,,"0,043",0.502224797325,,01.02,-0.83048272178,,01.02,-0.867225950336,,01.02,-0.915834179781
"0,044",-0.532326731722,,"0,044",0.502224797325,,01.04,-0.939946923521,,01.04,-0.872967079798,,01.04,-0.952194666374
"0,046",-0.532326731722,,"0,046",0.502224797325,,01.06,−11544613.04.00,,01.06,-0.872967079798,,01.06,-0.982814023504
"0,047",-0.532326731722,,"0,047",0.508348668751,,01.08,-1.04979386723,,01.08,-0.86110207891,,01.08,-0.994679024392
1.1,-0.532326731722,,1.1,0.514472540177,,1.1,-1.16538194039,,1.1,-0.836606593206,,1.1,-0.994679024392
"0,050",-0.532326731722,,"0,050",0.508348668751,,01.12,-1.29934162784,,01.12,-0.83048272178,,01.12,-0.976690152078
"0,051",-0.532326731722,,"0,051",0.508348668751,,01.14,-1.39655808673,,01.14,-0.83048272178,,01.14,-0.952194666374
"0,053",-0.526202860296,,"0,053",0.502224797325,,01.16,-1.51827003132,,01.16,-0.836606593206,,01.16,-0.928081922633
"0,054",-0.526202860296,,"0,054",0.502224797325,,01.18,-1.64610584734,,01.18,-0.848854336058,,01.18,-0.915834179781
1.2,-0.526202860296,,1.2,0.502224797325,,1.2,-1.70696181964,,1.2,-0.854978207484,,1.2,-0.891338694077
"0,057",-0.532326731722,,"0,057",0.496483667863,,01.22,-1.75557004908,,01.22,-0.86110207891,,01.22,-0.891338694077
"0,058",-0.532326731722,,"0,058",0.490359796437,,01.24,-1.79843714907,,01.24,-0.872967079798,,01.24,-0.897462565503
"0,060",-0.526202860296,,"0,060",0.496483667863,,01.26,-1.82254989281,,01.26,-0.897462565503,,01.26,-0.915834179781
"0,061",-0.526202860296,,"0,061",0.496483667863,,01.28,-1.80417827853,,01.28,-0.939946923521,,01.28,-0.933823052095
1.3,-0.532326731722,,1.3,0.502224797325,,1.3,-1.70696181964,,1.3,-0.964442409226,,1.3,-0.9583185378
"0,064",-0.520078988869,,"0,064",0.502224797325,,01.32,-1.53051777418,,01.32,-0.970566280652,,01.32,-0.964442409226
"0,065",-0.526202860296,,"0,065",0.502224797325,,01.34,-1.33570211443,,01.34,-0.976690152078,,01.34,-0.9583185378
"0,067",-0.526202860296,,"0,067",0.496483667863,,01.36,-1.14088645469,,01.36,-0.970566280652,,01.36,-0.952194666374
"0,068",-0.526202860296,,"0,068",0.490359796437,,01.38,-0.970566280652,,01.38,-0.970566280652,,01.38,-0.964442409226
1.4,-0.526202860296,,1.4,0.484235925011,,1.4,-0.794122235187,,1.4,-0.952194666374,,1.4,-0.964442409226
"0,071",-0.526202860296,,"0,071",0.484235925011,,01.42,-0.635667062037,,01.42,-0.939946923521,,01.42,-0.970566280652
"0,072",-0.526202860296,,"0,072",0.478112053584,,01.44,-0.501707374591,,01.44,-0.933823052095,,01.44,-0.964442409226
"0,074",-0.526202860296,,"0,074",0.484235925011,,01.46,-0.428986401406,,01.46,-0.933823052095,,01.46,-0.9583185378
"0,075",-0.520078988869,,"0,075",0.490359796437,,01.48,-0.404490915702,,01.48,-0.946070794947,,01.48,-0.952194666374
1.5,-0.526202860296,,1.5,0.496483667863,,1.5,-0.404490915702,,1.5,-0.964442409226,,1.5,-0.9583185378
"0,078",-0.532326731722,,"0,078",0.496483667863,,01.52,-0.398367044276,,01.52,-0.976690152078,,01.52,-0.946070794947
"0,079",-0.532326731722,,"0,079",0.496483667863,,01.54,-0.398367044276,,01.54,-0.976690152078,,01.54,-0.928081922633
"0,081",-0.532326731722,,"0,081",0.502224797325,,01.56,-0.404490915702,,01.56,-0.970566280652,,01.56,-0.909710308355
"0,082",-0.526202860296,,"0,082",0.502224797325,,01.58,-0.398367044276,,01.58,-0.976690152078,,01.58,-0.903586436929
1.6,-0.526202860296,,1.6,0.502224797325,,1.6,-0.349758814831,,1.6,-0.98893789493,,1.6,-0.897462565503
"0,085",-0.520078988869,,"0,085",0.496483667863,,02.02,-0.313015586275,,02.02,-0.994679024392,,02.02,-0.897462565503
"0,086",-0.526202860296,,"0,086",0.502224797325,,02.04,-0.29502671396,,02.04,−11544613.04.00,,02.04,-0.903586436929
"0,088",-0.520078988869,,"0,088",0.502224797325,,02.06,-0.301150585386,,02.06,−11544613.04.00,,02.06,-0.921958051207
"0,089",-0.520078988869,,"0,089",0.502224797325,,02.08,-0.307274456813,,02.08,−1338160.42.00,,02.08,-0.939946923521
1.7,-0.520078988869,,1.7,0.502224797325,,1.7,-0.319139457701,,1.7,−1338160.42.00,,1.7,-0.964442409226
"0,092",-0.520078988869,,"0,092",0.496483667863,,02.12,-0.331387200553,,02.12,−11544613.04.00,,02.12,-0.98893789493
"0,093",-0.513955117443,,"0,093",0.496483667863,,02.14,-0.319139457701,,02.14,-1.01305063867,,02.14,−11544613.04.00
"0,094",-0.520078988869,,"0,094",0.490359796437,,02.16,-0.319139457701,,02.16,−3195752.41.00,,02.16,-0.994679024392
"0,096",-0.520078988869,,"0,096",0.490359796437,,02.18,-0.313015586275,,02.18,-1.02529838152,,02.18,-0.982814023504
1.8,-0.520078988869,,1.8,0.490359796437,,1.8,-0.301150585386,,1.8,-1.02529838152,,1.8,-0.970566280652
"0,099",-0.520078988869,,"0,099",0.496483667863,,02.22,-0.307274456813,,02.22,−3195752.41.00,,02.22,-0.952194666374
"0,100",-0.526202860296,,"0,100",0.502224797325,,02.24,-0.343634943405,,02.24,−3195752.41.00,,02.24,-0.921958051207
"0,101",-0.532326731722,,"0,101",0.502224797325,,02.26,-0.379995429998,,02.26,−3195752.41.00,,02.26,-0.891338694077
"0,103",-0.526202860296,,"0,103",0.502224797325,,02.28,-0.440851402294,,02.28,−3195752.41.00,,02.28,-0.872967079798
1.9,-0.532326731722,,1.9,0.496483667863,,1.9,-0.556822217426,,1.9,-1.02529838152,,1.9,-0.854978207484
"0,106",-0.532326731722,,"0,106",0.496483667863,,02.32,-0.739390134317,,02.32,−7278333.38.00,,02.32,-0.848854336058
"0,107",-0.532326731722,,"0,107",0.496483667863,,02.34,-0.915834179781,,02.34,−7278333.38.00,,02.34,-0.854978207484
"0,108",-0.532326731722,,"0,108",0.484235925011,,02.36,−3195752.41.00,,02.36,-1.03754612437,,02.36,-0.86110207891
"0,110",-0.538450603148,,"0,110",0.471988182158,,02.38,-1.06778273954,,02.38,-1.02529838152,,02.38,-0.867225950336
"2,000",-0.532326731722,,"2,000",0.465864310732,,2,-1.07390661097,,2,−3195752.41.00,,2,-0.86110207891
"0,085",-0.532326731722,,"0,085",0.45361656788,,02.02,-1.05591773865,,02.02,-1.01305063867,,02.02,-0.854978207484
"0,086",-0.526202860296,,"0,086",0.441368825028,,02.04,-1.01305063867,,02.04,-1.01305063867,,02.04,-0.854978207484
"0,088",-0.526202860296,,"0,088",0.42950382414,,02.06,-0.939946923521,,02.06,−3195752.41.00,,02.06,-0.86110207891
"0,089",-0.526202860296,,"0,089",0.411132209862,,02.08,-0.867225950336,,02.08,-1.02529838152,,02.08,-0.86110207891
2.1,-0.526202860296,,2.1,0.398884467009,,2.1,-0.800246106613,,2.1,-1.03754612437,,2.1,-0.867225950336
"0,092",-0.520078988869,,"0,092",0.380512852731,,02.12,-0.769626749483,,02.12,-1.04979386723,,02.12,-0.872967079798
"0,093",-0.520078988869,,"0,093",0.368647851843,,02.14,-0.775750620909,,02.14,-1.06165886812,,02.14,-0.879090951224
"0,094",-0.520078988869,,"0,094",0.350276237565,,02.16,-0.824358850354,,02.16,-1.06165886812,,02.16,-0.891338694077
"0,096",-0.526202860296,,"0,096",0.331904623286,,02.18,-0.872967079798,,02.18,-1.06165886812,,02.18,-0.891338694077
2.2,-0.532326731722,,2.2,0.30166800812,,2.2,-0.903586436929,,2.2,-1.06165886812,,2.2,-0.897462565503
"0,099",-0.532326731722,,"0,099",0.264924779563,,02.22,-0.903586436929,,02.22,-1.06778273954,,02.22,-0.891338694077
"0,100",-0.532326731722,,"0,100",0.228564292971,,02.24,-0.903586436929,,02.24,-1.08003048239,,02.24,-0.897462565503
"0,101",-0.532326731722,,"0,101",0.19794493584,,02.26,-0.891338694077,,02.26,-1.09227822525,,02.26,-0.909710308355
"0,103",-0.532326731722,,"0,103",0.19794493584,,02.28,-0.879090951224,,02.28,-1.1045259681,,02.28,-0.915834179781
2.3,-0.532326731722,,2.3,0.191821064414,,2.3,-0.848854336058,,2.3,-1.11677371095,,2.3,-0.909710308355
"0,106",-0.532326731722,,"0,106",0.161584449248,,02.32,-0.818234978928,,02.32,-1.13476258326,,02.32,-0.903586436929
"0,107",-0.532326731722,,"0,107",0.130965092118,,02.34,-0.751255135205,,02.34,-1.14088645469,,02.34,-0.903586436929
"0,108",-0.520078988869,,"0,108",0.100728476951,,02.36,-0.690399162908,,02.36,-1.13476258326,,02.36,-0.909710308355
"0,110",-0.520078988869,,"0,110",0.0823568626729,,02.38,-0.641790933463,,02.38,-1.12863871184,,02.38,-0.915834179781
2.4,-0.520078988869,,2.4,0.0398725046543,,2.4,-0.599306575445,,2.4,-1.12251484041,,2.4,-0.915834179781
"0,113",-0.526202860296,,"0,113",-0.0148595962164,,02.42,-0.57481108974,,02.42,-1.12251484041,,02.42,-0.909710308355
"0,114",-0.520078988869,,"0,114",-0.0695916970872,,02.44,−9178305.46.00,,02.44,-1.14088645469,,02.44,-0.909710308355
"0,115",-0.526202860296,,"0,115",-0.124323797958,,02.46,-0.538450603148,,02.46,-1.14088645469,,02.46,-0.909710308355
"0,117",-0.532326731722,,"0,117",-0.185179770255,,02.48,-0.507831246017,,02.48,-1.14701032612,,02.48,-0.915834179781
2.5,"−382429,407",,2.5,-0.228046870237,,2.5,-0.471470759425,,2.5,-1.15313419754,,2.5,-0.909710308355
"0,119",-0.568687218314,,"0,119",-0.276655099682,,02.52,-0.434727530868,,02.52,-1.16538194039,,02.52,-0.915834179781
"0,121",-0.617678189723,,"0,121",-0.362006557683,,02.54,-0.404490915702,,02.54,-1.18337081271,,02.54,-0.915834179781
"0,122",-0.654038676315,,"0,122",-0.459223016573,,02.56,-0.39224317285,,02.56,-1.20786629841,,02.56,-0.928081922633
"0,124",-0.67853416202,,"0,124",-0.587058832592,,02.58,-0.416738658554,,02.58,-1.23236178412,,02.58,-0.939946923521
2.6,-0.70264690576,,2.6,-0.708770777186,,2.6,-0.453099145147,,2.6,-1.25035065643,,2.6,-0.9583185378
"0,126",-0.733266262891,,"0,126",-0.824358850354,,03.02,-0.489842373703,,03.02,-1.26259839928,,03.02,-0.976690152078
"0,128",-0.763502878057,,"0,128",-0.897462565503,,03.04,-0.501707374591,,03.04,-1.29321775641,,03.04,-0.994679024392
"0,129",-0.781874492335,,"0,129",-0.952194666374,,03.06,-0.477594630851,,03.06,-1.31733050015,,03.06,-1.01305063867
"0,131",-0.794122235187,,"0,131","−481025,544",,03.08,-0.465346887999,,03.08,-1.34794985729,,03.08,-1.01305063867
2.7,-0.800246106613,,2.7,"−303263,901",,2.7,-0.471470759425,,2.7,-1.37206260103,,2.7,-1.02529838152
"0,133",-0.812111107502,,"0,133",-1.06778273954,,03.12,-0.483718502277,,03.12,-1.39655808673,,03.12,-1.03142225295
"0,135",-0.848854336058,,"0,135",-1.11677371095,,03.14,-0.495583503165,,03.14,-1.40268195816,,03.14,-1.06165886812
"0,136",-0.867225950336,,"0,136",-1.18949468413,,03.16,-0.501707374591,,03.16,-1.38431034388,,03.16,-1.06778273954
"0,138",-0.867225950336,,"0,138",-1.26872227071,,03.18,-0.489842373703,,03.18,-1.37206260103,,03.18,-1.08615435382
2.8,-0.867225950336,,2.8,-1.34182598586,,2.8,-0.477594630851,,2.8,-1.36019760014,,2.8,-1.11677371095
"0,140",-0.879090951224,,"0,140",-1.40268195816,,03.22,-0.477594630851,,03.22,-1.33570211443,,03.22,-1.14088645469
"0,142",-0.915834179781,,"0,142",-1.48190954473,,03.24,-0.495583503165,,03.24,-1.29934162784,,03.24,-1.18337081271
"0,143",-0.946070794947,,"0,143",-1.55501325988,,03.26,-0.526202860296,,03.26,-1.27484614214,,03.26,-1.28097001356
"0,144",-0.970566280652,,"0,144",-1.57300213219,,03.28,-0.544574474574,,03.28,-1.25035065643,,03.28,-1.4512901876
2.9,-0.98893789493,,2.9,-1.55501325988,,2.9,−9178305.46.00,,2.9,-1.23848565554,,2.9,-1.74332230623
"0,147","−481025,544",,"0,147",-1.4757856733,,03.32,-0.544574474574,,03.32,-1.23848565554,,03.32,-2.15744911142
"0,149",-1.01305063867,,"0,149",-1.38431034388,,03.34,−9178305.46.00,,03.34,-1.23236178412,,03.34,-2.63817301837
"0,150","−303263,901",,"0,150",-1.26872227071,,03.36,-0.538450603148,,03.36,-1.23848565554,,03.36,-3.06416482445
"0,151",-1.05591773865,,"0,151",-1.14088645469,,03.38,-0.538450603148,,03.38,-1.23236178412,,03.38,-3.52689985908
"3,000",-1.06778273954,,"3,000",-1.02529838152,,3,−9178305.46.00,,3,-1.23236178412,,3,-3.96513940801
"0,126",-1.08003048239,,"0,126",-0.909710308355,,03.02,-0.580934961166,,03.02,-1.22011404127,,03.02,-4.36051185696
"0,128",-1.1045259681,,"0,128",-0.794122235187,,03.04,-0.605430446871,,03.04,-1.23848565554,,03.04,−13114777.25.00
"0,129",-1.12251484041,,"0,129",-0.733266262891,,03.06,-0.623419319185,,03.06,-1.25647452786,,03.06,-5.20063046823
"0,131",-1.14088645469,,"0,131",-0.781874492335,,03.08,-0.623419319185,,03.08,-1.29321775641,,03.08,-5.58413791629
3.1,-1.15313419754,,3.1,-0.83048272178,,3.1,-0.617678189723,,3.1,-1.37818647245,,3.1,-5.81531406262
"0,133",-1.15925806897,,"0,133",-0.836606593206,,03.12,-0.605430446871,,03.12,-1.52439390275,,03.12,-5.91291326348
"0,135",-1.15925806897,,"0,135",-0.818234978928,,03.14,-0.593182704019,,03.14,-1.76781779194,,03.14,-5.93090213579
"0,136",-1.15313419754,,"0,136",-0.757379006631,,03.16,-0.587058832592,,03.16,-2.04798490968,,03.16,-5.87004616349
"0,138",-1.15313419754,,"0,138",-0.666286419168,,03.18,-0.605430446871,,03.18,-2.38862525776,,03.18,-5.69360211803
3.2,-1.14701032612,,3.2,-0.520078988869,,3.2,-0.635667062037,,3.2,-2.71740060495,,3.2,-5.49266258686
"0,140",-1.11064983952,,"0,140",-0.343634943405,,03.22,-0.654038676315,,03.22,−5514756.35.00,,03.22,-5.34683789853
"0,142",-1.1045259681,,"0,142",-0.197427513107,,03.24,-0.660162547741,,03.24,-3.31371258506,,03.24,-5.15202223878
"0,143",-1.12251484041,,"0,143",-0.0818394399394,,03.26,-0.672410290594,,03.26,-3.57550808853,,03.26,-4.83549463445
"0,144",-1.16538194039,,"0,144",0.0398725046543,,03.28,-0.684275291482,,03.28,-3.7764476197,,03.28,-4.36051185696
3.3,-1.18949468413,,3.3,0.112976219803,,3.3,-0.70264690576,,3.3,-3.94676779374,,3.3,-3.75195213399
"0,147",-1.19561855556,,"0,147",0.14321283497,,03.32,-0.733266262891,,03.32,-4.1232118392,,03.32,-3.17975289762
